,Player Name,Player State,Total Number of Points,Player Pre-Rating
0,Gary Hua,ON,6.0,1794
1,Dakshesh Daruri,MI,6.0,1553
2,Aditya Bajaj,MI,6.0,1384
3,Patrick H Schilling,MI,5.5,1716
4,Hanshi Zuo,MI,5.5,1655
5,Hansen Song,OH,5.0,1686
6,Gary Dee Swathell,MI,5.0,1649
7,Ezekiel Houghton,MI,5.0,1641
8,Stefano Lee,ON,5.0,1411
9,Anvit Rao,MI,5.0,1365
10,William Mc Leman,MI,4.5,1712
11,Kenneth J Tack,MI,4.5,1663
12,Torrance Henry Jr,MI,4.5,1666
13,Bradley Shaw,MI,4.5,1610
14,Zachary James Houghton,MI,4.5,1220
15,Mike Nikitin,MI,4.0,1604
16,Ronald Grzegorczyk,MI,4.0,1629
17,David Sundeen,MI,4.0,1600
18,Dipankar Roy,MI,4.0,1564
19,Jason Zheng,MI,4.0,1595
20,Dinh Dang Bui,ON,4.0,1563
21,Eugene L Mcclure,MI,4.0,1555
22,Alan Bui,ON,4.0,1363
23,Michael R Aldrich,MI,4.0,1229
24,Loren Schwiebert,MI,3.5,1745
25,Max Zhu,ON,3.5,1579
26,Gaurav Gidwani,MI,3.5,1552
27,Sofia Adina Stanescu-Bellu,MI,3.5,1507
28,Chiedozie Okorie,MI,3.5,1602
29,George Avery Jones,ON,3.5,1522
30,Rishi Shetty,MI,3.5,1494
31,Joshua Philip Mathews,ON,3.5,1441
32,Jade Ge,MI,3.5,1449
33,Michael Jeffery Thomas,MI,3.5,1399
34,Joshua David Lee,MI,3.5,1438
35,Siddharth Jha,MI,3.5,1355
36,Amiyatosh Pwnanandam,MI,3.5,980
37,Brian Liu,MI,3.0,1423
38,Joel R Hendon,MI,3.0,1436
39,Forest Zhang,MI,3.0,1348
40,Kyle William Murphy,MI,3.0,1403
41,Jared Ge,MI,3.0,1332
42,Robert Glen Vasey,MI,3.0,1283
43,Justin D Schilling,MI,3.0,1199
44,Derek Yan,MI,3.0,1242
45,Jacob Alexander Lavalley,MI,3.0,377
46,Eric Wright,MI,2.5,1362
47,Daniel Khain,MI,2.5,1382
48,Michael J Martin,MI,2.5,1291
49,Shivam Jha,MI,2.5,1056
50,Tejas Ayyagari,MI,2.5,1011
51,Ethan Guo,MI,2.5,935
52,Jose C Ybarra,MI,2.0,1393
53,Larry Hodge,MI,2.0,1270
54,Alex Kong,MI,2.0,1186
55,Marisa Ricci,MI,2.0,1153
56,Michael Lu,MI,2.0,1092
57,Viraj Mohile,MI,2.0,917
58,M Mc Cormick,MI,2.0,853
59,Julia Shen,MI,1.5,967
60,Jezzel Farkas,ON,1.5,955
61,Ashwin Balaji,MI,1.0,1530
62,Thomas Joseph Hosmer,MI,1.0,1175
63,Ben Li,MI,1.0,1163
